table_name	columns
announcements	active, content, created_at, headline, id, link
areas	ccodes, created, description, geojson, id, owner_id, title, type
auth_group	id, name
auth_group_permissions	group_id, id, permission_id
auth_permission	codename, content_type_id, id, name
auth_users	affiliation, date_joined, email, email_confirmed, given_name, id, is_active, is_staff, is_superuser, last_login, must_reset_password, name, password, role, surname, username, web_page
auth_users_groups	group_id, id, user_id
auth_users_user_permissions	id, permission_id, user_id
authtoken_token	created, key, user_id
captcha_captchastore	challenge, expiration, hashkey, id, response
close_matches	basis, created_at, created_by_id, id, place_a, place_a_id, place_b, place_b_id, task_id, updated_at
collection_colldataset	collection_id, dataset_id, date_added, id
collection_collplace	collection_id, id, place_id, sequence
collection_group	collaboration, created, description, due_date, file, gallery, gallery_required, id, join_code, keywords, owner_id, start_date, title, type
collection_group_collections	collection_id, collectiongroup_id, id
collection_group_user	collectiongroup_id, id, role, user_id
collection_link	collection_id, id, label, license, link_type, uri
collection_user	collection_id, id, role, user_id
collections	build_type, collection_class, contact, create_date, creator, description, featured, file, group, id, image_file, keywords, nominate_date, nominated, owner_id, public, rel_keywords, status, submit_date, title, version, vis_parameters, webpage
comments	created, id, note, place_id_id, tag, user_id
countries	geonameid, gnlabel, id, iso, mpoly, tgnid, tgnlabel, un, variants
dataset_file	dataset_id_id, datatype, delimiter, df_status, file, format, header, id, numrows, rev, upload_date
dataset_user	dataset_id_id, id, role, user_id_id
datasets	bbox, citation, contributors, core, create_date, creator, datatype, description, ds_status, featured, id, idx_builder, image_file, label, numlinked, numrows, owner_id, pdf, public, source, title, total_links, uri_base, vis_parameters, volunteers, webpage
django_admin_log	action_flag, action_time, change_message, content_type_id, id, object_id, object_repr, user_id
django_celery_results_chordcounter	count, group_id, id, sub_tasks
django_celery_results_groupresult	content_encoding, content_type, date_created, date_done, group_id, id, result
django_celery_results_taskresult	content_encoding, content_type, date_created, date_done, id, meta, periodic_task_name, result, status, task_args, task_id, task_kwargs, task_name, traceback, worker
django_content_type	app_label, id, model
django_migrations	app, applied, id, name
django_session	expire_date, session_data, session_key
django_site	domain, id, name
download_files	collection_id, created_at, dataset_id, filepath, id, title, user_id
geography_columns	coord_dimension, f_geography_column, f_table_catalog, f_table_name, f_table_schema, srid, type
geometry_columns	coord_dimension, f_geometry_column, f_table_catalog, f_table_name, f_table_schema, srid, type
guardian_groupobjectpermission	content_type_id, group_id, id, object_pk, permission_id
guardian_userobjectpermission	content_type_id, id, object_pk, permission_id, user_id
hits	authority, authrecord_id, dataset_id, flag, geom, id, json, matched, place_id, query_pass, reviewed, score, src_id, task_id
links	collection_group_id, collection_id, id, label, license, link_type, place_id, trace_annotation_id, uri
log	category, collection_id, dataset_id, id, logtype, note, subtype, timestamp, user_id
place_depiction	id, jsonb, place_id, src_id
place_description	id, jsonb, place_id, src_id, task_id
place_geom	create_date, geom, geom_src, h3, id, jsonb, place_id, reviewer_id, s2, src_id, task_id
place_link	black_parent, create_date, id, jsonb, place_id, review_note, reviewer_id, src_id, task_id
place_name	create_date, id, jsonb, name_src_id, place_id, reviewer_id, src_id, task_id, toponym
place_related	id, jsonb, place_id, src_id
place_type	aat_id, fclass, id, jsonb, place_id, src_id
place_when	id, jsonb, minmax, place_id, src_id
places	attestation_year, ccodes, create_date, dataset, fclasses, flag, id, idx_builder, idx_pub, indexed, minmax, review_tgn, review_wd, review_whg, src_id, timespans, title
resource_file	file, filetype, id, resource_id
resource_image	id, image, resource_id
resources	authors, contact, create_date, description, featured, gradelevels, id, keywords, owner_id, pub_date, public, regions, status, subjects, title, type, webpage
sources	citation, id, label, owner_id, src_id, uri
spatial_ref_sys	auth_name, auth_srid, proj4text, srid, srtext
tilesets	collection_id, created, dataset_id, id, task_id, tiletype
trace_annotations	anno_type, archived, collection, created, end, id, image_file, include_matches, motivation, note, owner_id, place, relation, saved, sequence, src_id, start, when
trace_relations	collection, id, relation
types	aat_id, fclass, id, note, parent_id, term, term_full
