place_a_id,place_b_id
88538,13202064
12538609,6373136
6216206,13202064
5493630,7244455
5828334,8065478
4714150,85411
88444,174421
85547,13476591
5855138,7232544
6033633,6368466
13246276,7137243
6110478,7800374
91411,89884
4671625,7687101
4724198,88040
5617969,85893
14191870,14192150
13169554,7555066
4720666,6371377
5128264,6369152
5693186,6372117
5941125,6373489
4628638,14187094
13054634,7690559
4871156,91003
14192148,6692228
5179102,13232343
87814,12898251
83868,6373165
5583204,6375511
5636565,14157549
166984,83659
5421257,6368510
5283933,7690514
5277046,8064484
5699875,14157323
4499917,7241960
7554345,13061871
4866810,7241657
7688484,13399941
5025966,7225885
13655804,7554054
14192080,14192080
5125511,7256910
7591961,7598279
12345932,6029305
83887,6368797
228027,13928134
81809,7685600
2487469,83666
12802804,6371432
5654847,7231540
5149586,13343649
84446,6369594
5322942,6372109
4549130,7260917
4683486,7259637
14161143,7610241
5402593,89807
6082817,6372344
13832200,6373706
5845505,7687132
87310,6459801
14172236,7686341
2487364,4492132
12346059,89787
5535314,7224484
90885,7685784
6464955,6373572
85484,7686124
6375106,12392208
4486947,7232142
5273795,7225312
13335299,7689849
4489287,12345781
6053930,14157181
81044,7137601
88339,88339
5537993,7610124
4576551,6373828
5656495,7253399
5258642,91411
88228,12541605
5601584,8066105
89155,6370082
88857,6371932
81590,81590
5400366,7251594
12410595,7690217
82458,13152388
83410,7554777
81400,7137444
89237,6375490
6373755,12362677
87995,14175475
5063523,7245857
5301158,85198
5733271,7235395
5054039,8036732
227633,85308
6375485,7137834
5483645,6982775
5206567,81112
4830289,7232483
5764518,7688586
5981366,7239241
85947,14191602
14170090,7685553
5814017,6368975
5894580,7690616
5611721,7690576
4615997,12704828
7792763,7792784
227911,5013997
5319036,6375184
227561,7685887
12346654,12346654
12506261,83640
14192150,14191871
14167551,7688534
82356,6296852
83615,6373716
5464049,7226797
5832508,7237842
227572,14223778
4731700,7227513
4450959,6372287
14175154,90653
6372554,7690712
5577352,7241853
13568080,7690862
4809009,7256808
5216250,6369815
4735612,6372579
5833795,7229799
5188936,7241921
6121620,7238719
14164015,7686552
4534997,7231470
12346280,6374020
5366937,7259757
7638646,7685486
5245554,7231094
5640947,7255256
4775640,7260523
6079298,7238900
5202426,90802
6130627,7224129
5713089,7262317
5173994,8100670
84350,13137389
14057333,7685765
5627373,7227625
4576533,7235114
89470,6457052
83611,7607779
82874,7686422
82474,12929936
7647075,7647141
5782690,7226307
13546778,13054634
12697077,13294409
87449,14192536
4955322,7691621
5395429,7229083
5834425,83476
5350772,6373729
5840910,7244459
5054218,7231810
5102734,7688182
7686113,12549440
5764518,6368394
6368533,7686453
4493142,7235307
7691203,12573078
6205314,82690
5944603,7262254
7059037,14221169
5736959,6375312
85729,12502094
2487391,81895
6236529,85706
81882,12647843
85778,12954166
87273,87273
2487709,81494
14154999,7685600
2487603,4710032
82677,7686274
4990877,7690887
4662088,7255974
6000770,7687274
4615074,7685644
6216118,6373052
5734609,7239600
5732224,6369990
6373588,12410595
90260,6372990
88113,7689768
227834,5445992
5751212,6369640
2487629,5653827
6372624,6370524
4852898,7259061
4695266,6982852
5082135,14158673
4746410,7232434
83514,14154637
5071974,7691212
7675919,7676913
4776091,14060758
12357143,14175144
5266066,7254763
7689584,7689584
7685198,14255522
5187555,6374483
6017744,7244810
6180002,7254059
4606553,7254892
6368393,14184280
91444,6372884
81809,13782433
5986610,7688487
12881247,7690038
83030,14158372
7686704,7610113
5319211,13002645
5708449,6373011
90070,13776063
227872,5947868
2487384,5657791
