basis,created_at,created_by_id,place_a_id,place_b_id,task_id,updated_at
imported,2024-05-31,2,88538,13202064,NULL,2024-05-31
imported,2024-05-31,2,12538609,6373136,NULL,2024-05-31
imported,2024-05-31,2,6216206,13202064,NULL,2024-05-31
imported,2024-05-31,2,5493630,7244455,NULL,2024-05-31
imported,2024-05-31,2,5828334,8065478,NULL,2024-05-31
imported,2024-05-31,2,4714150,85411,NULL,2024-05-31
imported,2024-05-31,2,88444,174421,NULL,2024-05-31
imported,2024-05-31,2,85547,13476591,NULL,2024-05-31
imported,2024-05-31,2,5855138,7232544,NULL,2024-05-31
imported,2024-05-31,2,6033633,6368466,NULL,2024-05-31
imported,2024-05-31,2,13246276,7137243,NULL,2024-05-31
imported,2024-05-31,2,6110478,7800374,NULL,2024-05-31
imported,2024-05-31,2,91411,89884,NULL,2024-05-31
imported,2024-05-31,2,4671625,7687101,NULL,2024-05-31
imported,2024-05-31,2,4724198,88040,NULL,2024-05-31
imported,2024-05-31,2,5617969,85893,NULL,2024-05-31
imported,2024-05-31,2,14191870,14192150,NULL,2024-05-31
imported,2024-05-31,2,13169554,7555066,NULL,2024-05-31
imported,2024-05-31,2,4720666,6371377,NULL,2024-05-31
imported,2024-05-31,2,5128264,6369152,NULL,2024-05-31
imported,2024-05-31,2,5693186,6372117,NULL,2024-05-31
imported,2024-05-31,2,5941125,6373489,NULL,2024-05-31
imported,2024-05-31,2,4628638,14187094,NULL,2024-05-31
imported,2024-05-31,2,13054634,7690559,NULL,2024-05-31
imported,2024-05-31,2,4871156,91003,NULL,2024-05-31
imported,2024-05-31,2,14192148,6692228,NULL,2024-05-31
imported,2024-05-31,2,5179102,13232343,NULL,2024-05-31
imported,2024-05-31,2,87814,12898251,NULL,2024-05-31
imported,2024-05-31,2,83868,6373165,NULL,2024-05-31
imported,2024-05-31,2,5583204,6375511,NULL,2024-05-31
imported,2024-05-31,2,5636565,14157549,NULL,2024-05-31
imported,2024-05-31,2,166984,83659,NULL,2024-05-31
imported,2024-05-31,2,5421257,6368510,NULL,2024-05-31
imported,2024-05-31,2,5283933,7690514,NULL,2024-05-31
imported,2024-05-31,2,5277046,8064484,NULL,2024-05-31
imported,2024-05-31,2,5699875,14157323,NULL,2024-05-31
imported,2024-05-31,2,4499917,7241960,NULL,2024-05-31
imported,2024-05-31,2,7554345,13061871,NULL,2024-05-31
imported,2024-05-31,2,4866810,7241657,NULL,2024-05-31
imported,2024-05-31,2,7688484,13399941,NULL,2024-05-31
imported,2024-05-31,2,5025966,7225885,NULL,2024-05-31
imported,2024-05-31,2,13655804,7554054,NULL,2024-05-31
imported,2024-05-31,2,14192080,14192080,NULL,2024-05-31
imported,2024-05-31,2,5125511,7256910,NULL,2024-05-31
imported,2024-05-31,2,7591961,7598279,NULL,2024-05-31
imported,2024-05-31,2,12345932,6029305,NULL,2024-05-31
imported,2024-05-31,2,83887,6368797,NULL,2024-05-31
imported,2024-05-31,2,228027,13928134,NULL,2024-05-31
imported,2024-05-31,2,81809,7685600,NULL,2024-05-31
imported,2024-05-31,2,2487469,83666,NULL,2024-05-31
imported,2024-05-31,2,12802804,6371432,NULL,2024-05-31
imported,2024-05-31,2,5654847,7231540,NULL,2024-05-31
imported,2024-05-31,2,5149586,13343649,NULL,2024-05-31
imported,2024-05-31,2,84446,6369594,NULL,2024-05-31
imported,2024-05-31,2,5322942,6372109,NULL,2024-05-31
imported,2024-05-31,2,4549130,7260917,NULL,2024-05-31
imported,2024-05-31,2,4683486,7259637,NULL,2024-05-31
imported,2024-05-31,2,14161143,7610241,NULL,2024-05-31
imported,2024-05-31,2,5402593,89807,NULL,2024-05-31
imported,2024-05-31,2,6082817,6372344,NULL,2024-05-31
imported,2024-05-31,2,13832200,6373706,NULL,2024-05-31
imported,2024-05-31,2,5845505,7687132,NULL,2024-05-31
imported,2024-05-31,2,87310,6459801,NULL,2024-05-31
imported,2024-05-31,2,14172236,7686341,NULL,2024-05-31
imported,2024-05-31,2,2487364,4492132,NULL,2024-05-31
imported,2024-05-31,2,12346059,89787,NULL,2024-05-31
imported,2024-05-31,2,5535314,7224484,NULL,2024-05-31
imported,2024-05-31,2,90885,7685784,NULL,2024-05-31
imported,2024-05-31,2,6464955,6373572,NULL,2024-05-31
imported,2024-05-31,2,85484,7686124,NULL,2024-05-31
imported,2024-05-31,2,6375106,12392208,NULL,2024-05-31
imported,2024-05-31,2,4486947,7232142,NULL,2024-05-31
imported,2024-05-31,2,5273795,7225312,NULL,2024-05-31
imported,2024-05-31,2,13335299,7689849,NULL,2024-05-31
imported,2024-05-31,2,4489287,12345781,NULL,2024-05-31
imported,2024-05-31,2,6053930,14157181,NULL,2024-05-31
imported,2024-05-31,2,81044,7137601,NULL,2024-05-31
imported,2024-05-31,2,88339,88339,NULL,2024-05-31
imported,2024-05-31,2,5537993,7610124,NULL,2024-05-31
imported,2024-05-31,2,4576551,6373828,NULL,2024-05-31
imported,2024-05-31,2,5656495,7253399,NULL,2024-05-31
imported,2024-05-31,2,5258642,91411,NULL,2024-05-31
imported,2024-05-31,2,88228,12541605,NULL,2024-05-31
imported,2024-05-31,2,5601584,8066105,NULL,2024-05-31
imported,2024-05-31,2,89155,6370082,NULL,2024-05-31
imported,2024-05-31,2,88857,6371932,NULL,2024-05-31
imported,2024-05-31,2,81590,81590,NULL,2024-05-31
imported,2024-05-31,2,5400366,7251594,NULL,2024-05-31
imported,2024-05-31,2,12410595,7690217,NULL,2024-05-31
imported,2024-05-31,2,82458,13152388,NULL,2024-05-31
imported,2024-05-31,2,83410,7554777,NULL,2024-05-31
imported,2024-05-31,2,81400,7137444,NULL,2024-05-31
imported,2024-05-31,2,89237,6375490,NULL,2024-05-31
imported,2024-05-31,2,6373755,12362677,NULL,2024-05-31
imported,2024-05-31,2,87995,14175475,NULL,2024-05-31
imported,2024-05-31,2,5063523,7245857,NULL,2024-05-31
imported,2024-05-31,2,5301158,85198,NULL,2024-05-31
imported,2024-05-31,2,5733271,7235395,NULL,2024-05-31
imported,2024-05-31,2,5054039,8036732,NULL,2024-05-31
imported,2024-05-31,2,227633,85308,NULL,2024-05-31
imported,2024-05-31,2,6375485,7137834,NULL,2024-05-31
imported,2024-05-31,2,5483645,6982775,NULL,2024-05-31
imported,2024-05-31,2,5206567,81112,NULL,2024-05-31
imported,2024-05-31,2,4830289,7232483,NULL,2024-05-31
imported,2024-05-31,2,5764518,7688586,NULL,2024-05-31
imported,2024-05-31,2,5981366,7239241,NULL,2024-05-31
imported,2024-05-31,2,85947,14191602,NULL,2024-05-31
imported,2024-05-31,2,14170090,7685553,NULL,2024-05-31
imported,2024-05-31,2,5814017,6368975,NULL,2024-05-31
imported,2024-05-31,2,5894580,7690616,NULL,2024-05-31
