ID,TOPONYM,PART_OF,CONTRIBUTO,SOURCE,PAGE,CONFIDENCE,LONGITUDE,LATITUDE
https://www.geonames.org/693805,Aq Mečit,http://www.geonames.org/11494769,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"184","1",34.11079,44.95719
https://www.geonames.org/7039161,Taqyl,http://www.geonames.org/11494769,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"1026","1",33.92309,45.03824
https://www.geonames.org/712755,Aɣyrmaq Eli,http://www.geonames.org/11494711,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"120","1",35.61583,45.19402
https://www.geonames.org/10251758,Arabat,http://www.geonames.org/11494711,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"198","1",35.47877,45.29570
https://www.geonames.org/701300,Juqary Baqsan,http://www.geonames.org/11494733,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"580","1",34.41018,44.97858
https://www.geonames.org/687378,Ulu Sala,http://www.geonames.org/11494693,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"1111","1",34.00877,44.67348
https://www.geonames.org/712969,Baɣča Saraj,http://www.geonames.org/11494692,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"253","1",33.85782,44.75525
https://www.geonames.org/708727,Ulaqly,http://www.geonames.org/11494692,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"1106","1",33.91593,44.79147
https://www.geonames.org/696233,Bölek Ağy,http://www.geonames.org/11494628,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"337","1",33.13868,45.30569
https://www.geonames.org/697652,El Buzly,http://www.geonames.org/11494811,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"458","1",34.98281,44.97675
https://www.geonames.org/696371,Dürmen,http://www.geonames.org/11494785,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"452","1",33.84649,45.77903
https://www.geonames.org/697568,Ğurtču,http://www.geonames.org/11494785,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"533","1",33.85596,45.71744
https://www.geonames.org/6983708,Čujunču,http://www.geonames.org/11494774,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"427","1",34.13511,45.04522
https://www.geonames.org/6986268,Dajyr,http://www.geonames.org/11494775,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"435","1",34.27275,44.97927
https://www.geonames.org/7021103,Avuz Qyrq,http://www.geonames.org/11494736,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"234","1",34.55562,45.88389
https://www.geonames.org/712105,Najman,http://www.geonames.org/11494736,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"729","1",34.35570,46.01685
https://www.geonames.org/708405,Aq Köz,http://www.geonames.org/11494710,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"180","1",36.18601,45.27819
https://www.geonames.org/687517,Köp Taqyl,http://www.geonames.org/11494710,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"639","1",36.39965,45.12305
https://www.geonames.org/692714,Eski Qyrym,http://www.geonames.org/11494709,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"468","1",35.09174,45.02887
https://www.geonames.org/687656,Ajan,http://www.geonames.org/11494776,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"135","1",34.26426,44.85048
https://www.geonames.org/700661,Büjük Jaŋköj,http://www.geonames.org/11494776,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"362","1",34.25958,44.82261
https://www.geonames.org/702741,Eski Orda,http://www.geonames.org/11494776,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"467","1",34.16414,44.90600
https://www.geonames.org/709161,Kefe,http://www.geonames.org/11494707,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"589","1",35.37789,45.03677
https://www.geonames.org/687726,Ğaɣa Bojnaq,http://www.geonames.org/11494625,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"488","1",33.27866,45.15816
https://www.geonames.org/688105,Kezlev,http://www.geonames.org/11494625,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"609","1",33.36342,45.19559
https://www.geonames.org/688156,Ğaj TamƔaly,http://www.geonames.org/11494737,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"493","1",34.89624,45.53287
https://www.geonames.org/713514,Alupka,http://www.geonames.org/11494691,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"165","1",34.04531,44.41808
https://www.geonames.org/694423,Aqjar,http://www.geonames.org/11494691,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"193","1",33.52240,44.58883
https://www.geonames.org/710878,Autka,http://www.geonames.org/11494691,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"231","1",34.13662,44.49138
https://www.geonames.org/699659,Baɣa,http://www.geonames.org/11494691,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"248","1",33.84943,44.49992
https://www.geonames.org/698391,Bajdar,http://www.geonames.org/11494691,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"269","1",33.77588,44.44685
https://www.geonames.org/712930,Balyqlava,http://www.geonames.org/11494691,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"273","1",33.59942,44.51118
https://www.geonames.org/701947,Büjük Lambat,http://www.geonames.org/11494691,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"365","1",34.36469,44.61356
https://www.geonames.org/704116,Čerkez Kermen,http://www.geonames.org/11494691,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"401","1",33.73882,44.62131
https://www.geonames.org/687670,Dermen Köj,http://www.geonames.org/11494691,https://orcid.org/0000-0001-5427-7601,ISBN 9789004154339,"443","1",34.31753,44.59232
