id	title	title_source	ccodes	types	fclasses	aat_types	lon	lat	start	end	matches	parent_name	parent_id
hgc-pp-1001	Aq Mečit	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.11079	44.95719	1450	1800	gn:693805	Aq Mečit district	http://www.geonames.org/11494769
hgc-pp-1002	Taqyl	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.92309276	45.03823607	1450	1800	gn:7039161	Aq Mečit district	http://www.geonames.org/11494769
hgc-pp-1003	Aɣyrmag Eli	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	35.61583	45.19402	1450	1800	gn:712755	Arabat district	http://www.geonames.org/11494711
hgc-pp-1004	Arabat	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	35.47877	45.2957	1450	1800	gn:10251758	Arabat district	http://www.geonames.org/11494711
hgc-pp-1005	Juqary Baqsan	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.41018	44.97858	1450	1800	gn:701300	Arɣyn district	http://www.geonames.org/11494733
hgc-pp-1006	Ulu Sala	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.00877	44.67348	1450	1800	gn:687378	Arpalyq district	http://www.geonames.org/11494693
hgc-pp-1007	Baɣča Saraj	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.85782	44.75525	1450	1800	gn:712969	Bahçesaray district	http://www.geonames.org/11494692
hgc-pp-1008	Ulaqly	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.91593	44.79147	1450	1800	gn:708727	Bahçesaray district	http://www.geonames.org/11494692
hgc-pp-1009	Bölek Ağy	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.13868	45.30569	1450	1800	gn:696233	Bajnaq district	http://www.geonames.org/11494628
hgc-pp-1010	El Buzly	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.98281	44.97675	1450	1800	gn:697652	Baqa Taš district	http://www.geonames.org/11494811
