id	title	title_source	fclasses	ccodes	geo_id	lat	lon	start	end
1	Suvarnabhumi	Broek	P					1800	2000
2	Karpuradvipa	Broek	P					1800	2000
3	Poli	Broek	P	MY				1800	2000
4	Brunei Bay	Broek	P	BN				1800	2000
5	Puradvipa	Broek	P	ID				1800	2000
6	Tandjungnegara	Broek	P	ID				1800	2000
7	Tanjungpura	Broek	P	ID				1800	2000
8	Kapuas	Broek	P	ID				1800	2000
9	Katingan	Broek	P	ID				1800	2000
10	Sampit	Broek	P	ID	http://sws.geonames.org/1628884	-2.5315	112.9496	1800	2000
11	Kuta Lingga	Broek	P	MY				1800	2000
12	Kuta Waringin	Broek	P	ID				1800	2000
13	Sambas	Broek	P	ID	http://sws.geonames.org/1628979	1.33333	109.25	1800	2000
14	Wawai	Broek	P	ID				1800	2000
15	Lawai	Broek	P	ID				1800	2000
16	Kadangdangan	Broek	P	ID				1800	2000
17	Landa	Broek	P	ID	http://sws.geonames.org/7568598	-9.5923	120.2233	1800	2000
18	Samedang	Broek	P					1800	2000
19	Tirem	Broek	P	ID				1800	2000
20	Sedu	Broek	P	ID				1800	2000
21	Burune	Broek	P	ID				1800	2000
22	Kalka	Broek	P	ID				1800	2000
23	Saludung	Broek	P	ID				1800	2000
24	Solot	Broek	P	ID				1800	2000
25	Pasir	Broek	P	ID	http://sws.geonames.org/8750909	2.13994	100.80747	1800	2000
26	Baritu	Broek	P	ID				1800	2000
27	Sawaku	Broek	P	ID				1800	2000
28	Tabalung	Broek	P	ID				1800	2000
29	Tunjung Kute	Broek	P	ID				1800	2000
30	Malano	Broek	P	ID				1800	2000
31	Tandjungpuri	Broek	P	ID				1800	2000
32	Sulu islands	Broek	P	PH				1800	2000
33	Tidung	Broek	P	ID				1800	2000
34	Tiroon	Broek	P	ID				1800	2000
35	Maloedo	Broek	P	MY				1800	2000
36	Serudong	Broek	P	ID				1800	2000
37	Sebatik Island	Broek	P	ID;MY				1800	2000
38	Matan	Broek	P	ID				1800	2000
39	Sadong	Broek	P	ID				1800	2000
40	Sedua	Broek	P	ID				1800	2000
41	Sarawak	Broek	P	ID	http://sws.geonames.org/1733038	2.5	113.5	1800	2000
42	Langgouw	Broek	P	ID				1800	2000
43	Siduk	Broek	P	ID				1800	2000
44	Borneo	Broek	P	ID				1800	2000
45	Peniraman	Broek	P	ID				1800	2000
46	Rio Succadano	Broek	P	ID				1800	2000
47	A gramde isla de Maquacer	Broek	P					1800	2000
48	Burney	Broek	P	BN				1800	2000
49	Borney	Broek	P	BN				1800	2000
50	Brunei	Broek	P	BN	http://sws.geonames.org/1820814	4.5	114.66667	1800	2000
51	Tanjung	Broek	P	ID	http://sws.geonames.org/7036666	-7.1146	112.3866	1800	2000
52	Balambangan	Broek	P	MY				1800	2000
53	Moluccas	Broek	P	ID	http://sws.geonames.org/1636627	-3.23846	130.14527	1800	2000
54	C tanhumbagubaa	Broek	P	MY				1800	2000
55	Lloucam	Broek	P					1800	2000
56	Lloutam	Broek	P					1800	2000
57	Lochac	Broek	P					1800	2000
58	Lo Kuok	Broek	P					1800	2000
59	Laue	Broek	P	ID				1800	2000
60	Pamgun	Broek	P	ID				1800	2000
61	Pamgan	Broek	P	ID				1800	2000
62	Pulu Laut	Broek	P	ID				1800	2000
63	Pamuca	Broek	P	ID				1800	2000
64	Tanhumpura	Broek	P	ID				1800	2000
65	Tamnjompura	Broek	P	ID				1800	2000
66	Quedomdoan	Broek	P					1800	2000
67	Samper	Broek	P	ID				1800	2000
68	Cate	Broek	P	ID				1800	2000
69	Kendavangan	Broek	P					1800	2000
70	Kutei	Broek	P	ID				1800	2000
71	Pamukan	Broek	P	ID				1800	2000
72	Tanjompura	Broek	P	ID				1800	2000
73	Maquater	Broek	P					1800	2000
74	Java Minor	Broek	P	ID				1800	2000
75	San Pedro	Broek	P	MY				1800	2000
76	Chinabalo	Broek	P	MY				1800	2000
77	Mt. S. Paulo	Broek	P	MY				1800	2000
78	S. Pedro	Broek	P	MY				1800	2000
79	Chinabolo	Broek	P	MY				1800	2000
80	Kinabalu	Broek	P	MY	http://sws.geonames.org/1733432	5.9749	116.0724	1800	2000
81	Monte de Adas	Broek	P	MY				1800	2000
82	Porto de borneo	Broek	P	BN				1800	2000
83	Chinabatanga	Broek	P	MY				1800	2000
84	Kinabatangan	Broek	P	MY				1800	2000
85	Chinabalu	Broek	P	MY				1800	2000
86	Pertam	Broek	P	MY				1800	2000
87	Pertan	Broek	P	MY				1800	2000
88	Tanara	Broek	P	MY				1800	2000
89	Lanaca	Broek	P	MY				1800	2000
90	Lanara	Broek	P	MY				1800	2000
91	Tanaram	Broek	P	MY				1800	2000
92	Tabaran	Broek	P	MY				1800	2000
93	Bisaia	Broek	P	MY				1800	2000
94	Bacaia	Broek	P	MY				1800	2000
