id,title,attestation_year,ccodes,dataset,fclasses,flag,idx_pub,indexed,minmax,review_tgn,review_wd,review_whg,src_id,timespans,create_date,idx_builder
80977,"'Allaqi, Wadi el-",\N,{EG},black,{H},f,f,t,"{-2040,-1640}",\N,\N,\N,10269,"[[-2040, -1640]]",2019-01-10 07:00:00+00,f
80978,'Anakena,\N,{CL},black,{P},f,f,t,"{300,1680}",\N,\N,\N,10351,"[[300, 1680]]",2019-01-10 07:00:00+00,f
80979,A Shau,\N,{VN},black,{P},f,f,t,"{1830,1989}",\N,\N,\N,10612,"[[1946, 1989], [1830, 1875]]",2019-01-10 07:00:00+00,f
80980,Aachen,\N,{DE},black,{P},f,f,t,"{750,1918}",\N,\N,\N,10001,"[[1400, 1500], [1100, 1400], [750, 850], [1150, 1310], [1200, 1400], [1568, 1609], [1916, 1918]]",2019-01-10 07:00:00+00,f
80981,Aarhus,\N,{DK},black,{P},f,f,t,"{800,1000}",\N,\N,\N,10002,"[[800, 1000]]",2019-01-10 07:00:00+00,f
80982,Abadan,\N,{IR},black,{S},f,f,t,"{1900,2005}",\N,\N,\N,10003,"[[1900, 2005]]",2019-01-10 07:00:00+00,f
80983,Abaj Takalik,\N,{MX},black,{P},f,f,t,"{-1200,-200}",\N,\N,\N,10004,"[[-1200, -200]]",2019-01-10 07:00:00+00,f
80984,Abancay,\N,{PE},black,{P},f,f,t,"{1525,1525}",\N,\N,\N,10005,"[[1525, 1525]]",2019-01-10 07:00:00+00,f
80985,Abbasid Caliphate,\N,{},black,{A},f,f,t,"{800,1294}",\N,\N,\N,10006,"[[800, 1200], [800, 1000], [1206, 1294]]",2019-01-10 07:00:00+00,f
80986,Abbeville,\N,{FR},black,{P},f,f,t,"{1400,1493}",\N,\N,\N,10007,"[[1400, 1493]]",2019-01-10 07:00:00+00,f
80987,Abdera,\N,{GR},black,{P},f,f,t,"{-700,-300}",\N,\N,\N,10008,"[[-700, -300], [-454, -428], [-431, -404]]",2019-01-10 07:00:00+00,f
80988,Abenaki,\N,{},black,{L},f,f,t,"{1600,1750}",\N,\N,\N,10009,"[[1600, 1750]]",2019-01-10 07:00:00+00,f
80989,Abensberg,\N,{DE},black,{P},f,f,t,"{1794,1815}",\N,\N,\N,10010,"[[1794, 1815]]",2019-01-10 07:00:00+00,f
80990,Aberdeen,\N,{GB},black,{P},f,f,t,"{1200,1400}",\N,\N,\N,10011,"[[1200, 1400]]",2019-01-10 07:00:00+00,f
80991,Aberystwyth,\N,{GB},black,{P},f,f,t,"{1200,1400}",\N,\N,\N,10012,"[[1200, 1400]]",2019-01-10 07:00:00+00,f
80992,Abeshr,\N,{TD},black,{P},f,f,t,"{500,1500}",\N,\N,\N,10013,"[[500, 1500]]",2019-01-10 07:00:00+00,f
80993,Abhiras,\N,{},black,{A},f,f,t,"{-3100,1}",\N,\N,\N,10014,"[[-3100, -3100], [-1000, 1]]",2019-01-10 07:00:00+00,f
80994,Abhisara,\N,{},black,{A},f,f,t,"{-3100,-3100}",\N,\N,\N,10015,"[[-3100, -3100]]",2019-01-10 07:00:00+00,f
80995,Abidjan,\N,{CI},black,{P},f,f,t,"{2004,2004}",\N,\N,\N,10016,"[[2004, 2004]]",2019-01-10 07:00:00+00,f
80996,Abina,\N,{IN},black,{P},f,f,t,"{600,1000}",\N,\N,\N,10017,"[[600, 1000]]",2019-01-10 07:00:00+00,f
80997,Abitibi,\N,{},black,{L},f,f,t,"{700,1500}",\N,\N,\N,10018,"[[700, 1500]]",2019-01-10 07:00:00+00,f
